PA,SZ,TOD,Pop,Time
Sembawang,Senoko South,HDB 1- and 2-Room Flats,0,2005
Sembawang,Senoko South,HDB 3-Room Flats,0,2005
Sembawang,Senoko South,HDB 4-Room Flats,0,2005
Sembawang,Senoko South,HDB 5-Room and Executive Flats,0,2005
Sembawang,Senoko South,HUDC Flats (excluding those privatised),0,2005
Sembawang,Senoko South,Landed Properties,0,2005
Sembawang,Senoko South,Condominiums and Other Apartments,0,2005
Sembawang,Senoko South,Others,0,2005
Sembawang,The Wharves,HDB 1- and 2-Room Flats,0,2005
Sembawang,The Wharves,HDB 3-Room Flats,0,2005
Sembawang,The Wharves,HDB 4-Room Flats,0,2005
Sembawang,The Wharves,HDB 5-Room and Executive Flats,0,2005
Sembawang,The Wharves,HUDC Flats (excluding those privatised),0,2005
Sembawang,The Wharves,Landed Properties,0,2005
Sembawang,The Wharves,Condominiums and Other Apartments,0,2005
Sembawang,The Wharves,Others,0,2005
Sengkang,Buangkok,HDB 1- and 2-Room Flats,0,2005
Sengkang,Buangkok,HDB 3-Room Flats,0,2005
Sengkang,Buangkok,HDB 4-Room Flats,9840,2005
Sengkang,Buangkok,HDB 5-Room and Executive Flats,15370,2005
Sengkang,Buangkok,HUDC Flats (excluding those privatised),0,2005
Sengkang,Buangkok,Landed Properties,0,2005
Sengkang,Buangkok,Condominiums and Other Apartments,0,2005
Sengkang,Buangkok,Others,0,2005
Sengkang,Jalan Kayu East,HDB 1- and 2-Room Flats,0,2005
Sengkang,Jalan Kayu East,HDB 3-Room Flats,0,2005
Sengkang,Jalan Kayu East,HDB 4-Room Flats,3930,2005
Sengkang,Jalan Kayu East,HDB 5-Room and Executive Flats,3040,2005
Sengkang,Jalan Kayu East,HUDC Flats (excluding those privatised),0,2005
Sengkang,Jalan Kayu East,Landed Properties,320,2005
Sengkang,Jalan Kayu East,Condominiums and Other Apartments,10,2005
Sengkang,Jalan Kayu East,Others,20,2005
Sengkang,Jalan Kayu West,HDB 1- and 2-Room Flats,0,2005
Sengkang,Jalan Kayu West,HDB 3-Room Flats,0,2005
Sengkang,Jalan Kayu West,HDB 4-Room Flats,10,2005
Sengkang,Jalan Kayu West,HDB 5-Room and Executive Flats,0,2005
Sengkang,Jalan Kayu West,HUDC Flats (excluding those privatised),0,2005
Sengkang,Jalan Kayu West,Landed Properties,650,2005
Sengkang,Jalan Kayu West,Condominiums and Other Apartments,60,2005
Sengkang,Jalan Kayu West,Others,250,2005
Sengkang,Sengkang Town Centre,HDB 1- and 2-Room Flats,0,2005
Sengkang,Sengkang Town Centre,HDB 3-Room Flats,0,2005
Sengkang,Sengkang Town Centre,HDB 4-Room Flats,17110,2005
Sengkang,Sengkang Town Centre,HDB 5-Room and Executive Flats,27380,2005
Sengkang,Sengkang Town Centre,HUDC Flats (excluding those privatised),0,2005
Sengkang,Sengkang Town Centre,Landed Properties,230,2005
Sengkang,Sengkang Town Centre,Condominiums and Other Apartments,1040,2005
Sengkang,Sengkang Town Centre,Others,10,2005
Sengkang,Sungei Serangoon East,HDB 1- and 2-Room Flats,0,2005
Sengkang,Sungei Serangoon East,HDB 3-Room Flats,0,2005
Sengkang,Sungei Serangoon East,HDB 4-Room Flats,0,2005
Sengkang,Sungei Serangoon East,HDB 5-Room and Executive Flats,0,2005
Sengkang,Sungei Serangoon East,HUDC Flats (excluding those privatised),0,2005
Sengkang,Sungei Serangoon East,Landed Properties,0,2005
Sengkang,Sungei Serangoon East,Condominiums and Other Apartments,0,2005
Sengkang,Sungei Serangoon East,Others,0,2005
Sengkang,Sungei Serangoon West,HDB 1- and 2-Room Flats,0,2005
Sengkang,Sungei Serangoon West,HDB 3-Room Flats,0,2005
Sengkang,Sungei Serangoon West,HDB 4-Room Flats,17810,2005
Sengkang,Sungei Serangoon West,HDB 5-Room and Executive Flats,27180,2005
Sengkang,Sungei Serangoon West,HUDC Flats (excluding those privatised),0,2005
Sengkang,Sungei Serangoon West,Landed Properties,230,2005
Sengkang,Sungei Serangoon West,Condominiums and Other Apartments,4420,2005
Sengkang,Sungei Serangoon West,Others,10,2005
Sengkang,Trafalgar,HDB 1- and 2-Room Flats,0,2005
Sengkang,Trafalgar,HDB 3-Room Flats,0,2005
Sengkang,Trafalgar,HDB 4-Room Flats,980,2005
Sengkang,Trafalgar,HDB 5-Room and Executive Flats,380,2005
Sengkang,Trafalgar,HUDC Flats (excluding those privatised),0,2005
Sengkang,Trafalgar,Landed Properties,0,2005
Sengkang,Trafalgar,Condominiums and Other Apartments,0,2005
Sengkang,Trafalgar,Others,40,2005
Serangoon,Seletar Hills,HDB 1- and 2-Room Flats,0,2005
Serangoon,Seletar Hills,HDB 3-Room Flats,0,2005
Serangoon,Seletar Hills,HDB 4-Room Flats,0,2005
Serangoon,Seletar Hills,HDB 5-Room and Executive Flats,0,2005
Serangoon,Seletar Hills,HUDC Flats (excluding those privatised),0,2005
Serangoon,Seletar Hills,Landed Properties,9580,2005
Serangoon,Seletar Hills,Condominiums and Other Apartments,1430,2005
Serangoon,Seletar Hills,Others,60,2005
Serangoon,Serangoon Central,HDB 1- and 2-Room Flats,300,2005
Serangoon,Serangoon Central,HDB 3-Room Flats,6610,2005
Serangoon,Serangoon Central,HDB 4-Room Flats,18410,2005
Serangoon,Serangoon Central,HDB 5-Room and Executive Flats,8330,2005
Serangoon,Serangoon Central,HUDC Flats (excluding those privatised),0,2005
Serangoon,Serangoon Central,Landed Properties,8110,2005
Serangoon,Serangoon Central,Condominiums and Other Apartments,9350,2005
Serangoon,Serangoon Central,Others,380,2005
Serangoon,Serangoon Garden,HDB 1- and 2-Room Flats,0,2005
Serangoon,Serangoon Garden,HDB 3-Room Flats,5280,2005
Serangoon,Serangoon Garden,HDB 4-Room Flats,12100,2005
Serangoon,Serangoon Garden,HDB 5-Room and Executive Flats,4590,2005
Serangoon,Serangoon Garden,HUDC Flats (excluding those privatised),920,2005
Serangoon,Serangoon Garden,Landed Properties,15000,2005
Serangoon,Serangoon Garden,Condominiums and Other Apartments,1400,2005
Serangoon,Serangoon Garden,Others,470,2005
Serangoon,Serangoon North,HDB 1- and 2-Room Flats,0,2005
Serangoon,Serangoon North,HDB 3-Room Flats,0,2005
Serangoon,Serangoon North,HDB 4-Room Flats,7170,2005
Serangoon,Serangoon North,HDB 5-Room and Executive Flats,10630,2005
Serangoon,Serangoon North,HUDC Flats (excluding those privatised),0,2005
Serangoon,Serangoon North,Landed Properties,0,2005
Serangoon,Serangoon North,Condominiums and Other Apartments,0,2005
Serangoon,Serangoon North,Others,10,2005
Simpang,Pulau Seletar,HDB 1- and 2-Room Flats,0,2005
Simpang,Pulau Seletar,HDB 3-Room Flats,0,2005
Simpang,Pulau Seletar,HDB 4-Room Flats,0,2005
Simpang,Pulau Seletar,HDB 5-Room and Executive Flats,0,2005
Simpang,Pulau Seletar,HUDC Flats (excluding those privatised),0,2005
Simpang,Pulau Seletar,Landed Properties,0,2005
Simpang,Pulau Seletar,Condominiums and Other Apartments,0,2005
Simpang,Pulau Seletar,Others,0,2005
Simpang,Simpang North,HDB 1- and 2-Room Flats,0,2005
Simpang,Simpang North,HDB 3-Room Flats,0,2005
Simpang,Simpang North,HDB 4-Room Flats,0,2005
Simpang,Simpang North,HDB 5-Room and Executive Flats,0,2005
Simpang,Simpang North,HUDC Flats (excluding those privatised),0,2005
Simpang,Simpang North,Landed Properties,0,2005
Simpang,Simpang North,Condominiums and Other Apartments,0,2005
Simpang,Simpang North,Others,0,2005
Simpang,Simpang South,HDB 1- and 2-Room Flats,0,2005
Simpang,Simpang South,HDB 3-Room Flats,0,2005
Simpang,Simpang South,HDB 4-Room Flats,0,2005
Simpang,Simpang South,HDB 5-Room and Executive Flats,0,2005
Simpang,Simpang South,HUDC Flats (excluding those privatised),0,2005
Simpang,Simpang South,Landed Properties,0,2005
Simpang,Simpang South,Condominiums and Other Apartments,0,2005
Simpang,Simpang South,Others,0,2005
Simpang,Tanjong Irau,HDB 1- and 2-Room Flats,0,2005
Simpang,Tanjong Irau,HDB 3-Room Flats,0,2005
Simpang,Tanjong Irau,HDB 4-Room Flats,0,2005
Simpang,Tanjong Irau,HDB 5-Room and Executive Flats,0,2005
Simpang,Tanjong Irau,HUDC Flats (excluding those privatised),0,2005
Simpang,Tanjong Irau,Landed Properties,0,2005
Simpang,Tanjong Irau,Condominiums and Other Apartments,0,2005
Simpang,Tanjong Irau,Others,0,2005
Singapore River,Boat Quay,HDB 1- and 2-Room Flats,0,2005
Singapore River,Boat Quay,HDB 3-Room Flats,0,2005
Singapore River,Boat Quay,HDB 4-Room Flats,0,2005
Singapore River,Boat Quay,HDB 5-Room and Executive Flats,0,2005
Singapore River,Boat Quay,HUDC Flats (excluding those privatised),0,2005
Singapore River,Boat Quay,Landed Properties,0,2005
Singapore River,Boat Quay,Condominiums and Other Apartments,130,2005
Singapore River,Boat Quay,Others,60,2005
Singapore River,Clarke Quay,HDB 1- and 2-Room Flats,0,2005
Singapore River,Clarke Quay,HDB 3-Room Flats,0,2005
Singapore River,Clarke Quay,HDB 4-Room Flats,0,2005
Singapore River,Clarke Quay,HDB 5-Room and Executive Flats,0,2005
Singapore River,Clarke Quay,HUDC Flats (excluding those privatised),0,2005
Singapore River,Clarke Quay,Landed Properties,0,2005
Singapore River,Clarke Quay,Condominiums and Other Apartments,0,2005
Singapore River,Clarke Quay,Others,0,2005
Singapore River,Robertson Quay,HDB 1- and 2-Room Flats,0,2005
Singapore River,Robertson Quay,HDB 3-Room Flats,0,2005
Singapore River,Robertson Quay,HDB 4-Room Flats,0,2005
Singapore River,Robertson Quay,HDB 5-Room and Executive Flats,0,2005
Singapore River,Robertson Quay,HUDC Flats (excluding those privatised),0,2005
Singapore River,Robertson Quay,Landed Properties,0,2005
Singapore River,Robertson Quay,Condominiums and Other Apartments,900,2005
Singapore River,Robertson Quay,Others,60,2005
Southern Islands,Sentosa,HDB 1- and 2-Room Flats,0,2005
Southern Islands,Sentosa,HDB 3-Room Flats,0,2005
Southern Islands,Sentosa,HDB 4-Room Flats,0,2005
Southern Islands,Sentosa,HDB 5-Room and Executive Flats,0,2005
Southern Islands,Sentosa,HUDC Flats (excluding those privatised),0,2005
Southern Islands,Sentosa,Landed Properties,0,2005
Southern Islands,Sentosa,Condominiums and Other Apartments,0,2005
Southern Islands,Sentosa,Others,0,2005
Southern Islands,Southern Group,HDB 1- and 2-Room Flats,0,2005
Southern Islands,Southern Group,HDB 3-Room Flats,0,2005
Southern Islands,Southern Group,HDB 4-Room Flats,0,2005
Southern Islands,Southern Group,HDB 5-Room and Executive Flats,0,2005
Southern Islands,Southern Group,HUDC Flats (excluding those privatised),0,2005
Southern Islands,Southern Group,Landed Properties,0,2005
Southern Islands,Southern Group,Condominiums and Other Apartments,0,2005
Southern Islands,Southern Group,Others,0,2005
Straits View,Straits View,HDB 1- and 2-Room Flats,0,2005
Straits View,Straits View,HDB 3-Room Flats,0,2005
Straits View,Straits View,HDB 4-Room Flats,0,2005
Straits View,Straits View,HDB 5-Room and Executive Flats,0,2005
Straits View,Straits View,HUDC Flats (excluding those privatised),0,2005
Straits View,Straits View,Landed Properties,0,2005
Straits View,Straits View,Condominiums and Other Apartments,0,2005
Straits View,Straits View,Others,0,2005
Sungei Kadut,Kranji,HDB 1- and 2-Room Flats,0,2005
Sungei Kadut,Kranji,HDB 3-Room Flats,0,2005
Sungei Kadut,Kranji,HDB 4-Room Flats,0,2005
Sungei Kadut,Kranji,HDB 5-Room and Executive Flats,0,2005
Sungei Kadut,Kranji,HUDC Flats (excluding those privatised),0,2005
Sungei Kadut,Kranji,Landed Properties,0,2005
Sungei Kadut,Kranji,Condominiums and Other Apartments,0,2005
Sungei Kadut,Kranji,Others,0,2005
Sungei Kadut,Mandai,HDB 1- and 2-Room Flats,0,2005
Sungei Kadut,Mandai,HDB 3-Room Flats,0,2005
Sungei Kadut,Mandai,HDB 4-Room Flats,0,2005
Sungei Kadut,Mandai,HDB 5-Room and Executive Flats,0,2005
Sungei Kadut,Mandai,HUDC Flats (excluding those privatised),0,2005
Sungei Kadut,Mandai,Landed Properties,0,2005
Sungei Kadut,Mandai,Condominiums and Other Apartments,0,2005
Sungei Kadut,Mandai,Others,130,2005
Sungei Kadut,Pang Sua,HDB 1- and 2-Room Flats,0,2005
Sungei Kadut,Pang Sua,HDB 3-Room Flats,0,2005
Sungei Kadut,Pang Sua,HDB 4-Room Flats,0,2005
Sungei Kadut,Pang Sua,HDB 5-Room and Executive Flats,0,2005
Sungei Kadut,Pang Sua,HUDC Flats (excluding those privatised),0,2005
Sungei Kadut,Pang Sua,Landed Properties,0,2005
Sungei Kadut,Pang Sua,Condominiums and Other Apartments,0,2005
Sungei Kadut,Pang Sua,Others,0,2005
Sungei Kadut,Reservoir View,HDB 1- and 2-Room Flats,0,2005
Sungei Kadut,Reservoir View,HDB 3-Room Flats,0,2005
Sungei Kadut,Reservoir View,HDB 4-Room Flats,0,2005
Sungei Kadut,Reservoir View,HDB 5-Room and Executive Flats,0,2005
Sungei Kadut,Reservoir View,HUDC Flats (excluding those privatised),0,2005
Sungei Kadut,Reservoir View,Landed Properties,0,2005
Sungei Kadut,Reservoir View,Condominiums and Other Apartments,0,2005
Sungei Kadut,Reservoir View,Others,0,2005
Sungei Kadut,Turf Club,HDB 1- and 2-Room Flats,0,2005
Sungei Kadut,Turf Club,HDB 3-Room Flats,0,2005
Sungei Kadut,Turf Club,HDB 4-Room Flats,0,2005
Sungei Kadut,Turf Club,HDB 5-Room and Executive Flats,0,2005
Sungei Kadut,Turf Club,HUDC Flats (excluding those privatised),0,2005
Sungei Kadut,Turf Club,Landed Properties,620,2005
Sungei Kadut,Turf Club,Condominiums and Other Apartments,0,2005
Sungei Kadut,Turf Club,Others,0,2005
Tampines,Simei,HDB 1- and 2-Room Flats,0,2005
Tampines,Simei,HDB 3-Room Flats,200,2005
Tampines,Simei,HDB 4-Room Flats,13420,2005
Tampines,Simei,HDB 5-Room and Executive Flats,12440,2005
Tampines,Simei,HUDC Flats (excluding those privatised),0,2005
Tampines,Simei,Landed Properties,4010,2005
Tampines,Simei,Condominiums and Other Apartments,9500,2005
Tampines,Simei,Others,40,2005
Tampines,Tampines East,HDB 1- and 2-Room Flats,570,2005
Tampines,Tampines East,HDB 3-Room Flats,24570,2005
Tampines,Tampines East,HDB 4-Room Flats,56100,2005
Tampines,Tampines East,HDB 5-Room and Executive Flats,48290,2005
Tampines,Tampines East,HUDC Flats (excluding those privatised),0,2005
Tampines,Tampines East,Landed Properties,0,2005
Tampines,Tampines East,Condominiums and Other Apartments,3280,2005
Tampines,Tampines East,Others,540,2005
Tampines,Tampines North,HDB 1- and 2-Room Flats,0,2005
Tampines,Tampines North,HDB 3-Room Flats,0,2005
Tampines,Tampines North,HDB 4-Room Flats,0,2005
Tampines,Tampines North,HDB 5-Room and Executive Flats,0,2005
Tampines,Tampines North,HUDC Flats (excluding those privatised),0,2005
Tampines,Tampines North,Landed Properties,0,2005
Tampines,Tampines North,Condominiums and Other Apartments,0,2005
Tampines,Tampines North,Others,0,2005
Tampines,Tampines West,HDB 1- and 2-Room Flats,300,2005
Tampines,Tampines West,HDB 3-Room Flats,9630,2005
Tampines,Tampines West,HDB 4-Room Flats,36630,2005
Tampines,Tampines West,HDB 5-Room and Executive Flats,26090,2005
Tampines,Tampines West,HUDC Flats (excluding those privatised),0,2005
Tampines,Tampines West,Landed Properties,0,2005
Tampines,Tampines West,Condominiums and Other Apartments,2850,2005
Tampines,Tampines West,Others,310,2005
Tampines,Xilin,HDB 1- and 2-Room Flats,0,2005
Tampines,Xilin,HDB 3-Room Flats,0,2005
Tampines,Xilin,HDB 4-Room Flats,0,2005
Tampines,Xilin,HDB 5-Room and Executive Flats,0,2005
Tampines,Xilin,HUDC Flats (excluding those privatised),0,2005
Tampines,Xilin,Landed Properties,460,2005
Tampines,Xilin,Condominiums and Other Apartments,1590,2005
Tampines,Xilin,Others,20,2005
Tanglin,Chatsworth,HDB 1- and 2-Room Flats,0,2005
Tanglin,Chatsworth,HDB 3-Room Flats,0,2005
Tanglin,Chatsworth,HDB 4-Room Flats,0,2005
Tanglin,Chatsworth,HDB 5-Room and Executive Flats,0,2005
Tanglin,Chatsworth,HUDC Flats (excluding those privatised),0,2005
Tanglin,Chatsworth,Landed Properties,930,2005
Tanglin,Chatsworth,Condominiums and Other Apartments,3570,2005
Tanglin,Chatsworth,Others,220,2005
Tanglin,Nassim,HDB 1- and 2-Room Flats,0,2005
Tanglin,Nassim,HDB 3-Room Flats,0,2005
Tanglin,Nassim,HDB 4-Room Flats,0,2005
Tanglin,Nassim,HDB 5-Room and Executive Flats,0,2005
Tanglin,Nassim,HUDC Flats (excluding those privatised),0,2005
Tanglin,Nassim,Landed Properties,1780,2005
Tanglin,Nassim,Condominiums and Other Apartments,5120,2005
Tanglin,Nassim,Others,100,2005
Tanglin,Ridout,HDB 1- and 2-Room Flats,0,2005
Tanglin,Ridout,HDB 3-Room Flats,0,2005
Tanglin,Ridout,HDB 4-Room Flats,0,2005
Tanglin,Ridout,HDB 5-Room and Executive Flats,0,2005
Tanglin,Ridout,HUDC Flats (excluding those privatised),0,2005
Tanglin,Ridout,Landed Properties,530,2005
Tanglin,Ridout,Condominiums and Other Apartments,540,2005
Tanglin,Ridout,Others,50,2005
Tanglin,Tyersall,HDB 1- and 2-Room Flats,0,2005
Tanglin,Tyersall,HDB 3-Room Flats,40,2005
Tanglin,Tyersall,HDB 4-Room Flats,230,2005
Tanglin,Tyersall,HDB 5-Room and Executive Flats,260,2005
Tanglin,Tyersall,HUDC Flats (excluding those privatised),0,2005
Tanglin,Tyersall,Landed Properties,830,2005
Tanglin,Tyersall,Condominiums and Other Apartments,1740,2005
Tanglin,Tyersall,Others,10,2005
Tengah,Tengah,HDB 1- and 2-Room Flats,0,2005
Tengah,Tengah,HDB 3-Room Flats,0,2005
Tengah,Tengah,HDB 4-Room Flats,0,2005
Tengah,Tengah,HDB 5-Room and Executive Flats,0,2005
Tengah,Tengah,HUDC Flats (excluding those privatised),0,2005
Tengah,Tengah,Landed Properties,0,2005
Tengah,Tengah,Condominiums and Other Apartments,0,2005
Tengah,Tengah,Others,0,2005
Toa Payoh,Bidadari,HDB 1- and 2-Room Flats,0,2005
Toa Payoh,Bidadari,HDB 3-Room Flats,0,2005
Toa Payoh,Bidadari,HDB 4-Room Flats,0,2005
Toa Payoh,Bidadari,HDB 5-Room and Executive Flats,0,2005
Toa Payoh,Bidadari,HUDC Flats (excluding those privatised),0,2005
Toa Payoh,Bidadari,Landed Properties,0,2005
Toa Payoh,Bidadari,Condominiums and Other Apartments,0,2005
Toa Payoh,Bidadari,Others,0,2005
Toa Payoh,Boon Teck,HDB 1- and 2-Room Flats,4780,2005
Toa Payoh,Boon Teck,HDB 3-Room Flats,6120,2005
Toa Payoh,Boon Teck,HDB 4-Room Flats,1380,2005
Toa Payoh,Boon Teck,HDB 5-Room and Executive Flats,3830,2005
Toa Payoh,Boon Teck,HUDC Flats (excluding those privatised),0,2005
Toa Payoh,Boon Teck,Landed Properties,0,2005
Toa Payoh,Boon Teck,Condominiums and Other Apartments,0,2005
Toa Payoh,Boon Teck,Others,100,2005
Toa Payoh,Braddell,HDB 1- and 2-Room Flats,1410,2005
Toa Payoh,Braddell,HDB 3-Room Flats,4470,2005
Toa Payoh,Braddell,HDB 4-Room Flats,2220,2005
Toa Payoh,Braddell,HDB 5-Room and Executive Flats,2870,2005
Toa Payoh,Braddell,HUDC Flats (excluding those privatised),0,2005
Toa Payoh,Braddell,Landed Properties,0,2005
Toa Payoh,Braddell,Condominiums and Other Apartments,0,2005
Toa Payoh,Braddell,Others,80,2005
Toa Payoh,Kallang,HDB 1- and 2-Room Flats,410,2005
Toa Payoh,Kallang,HDB 3-Room Flats,2350,2005
Toa Payoh,Kallang,HDB 4-Room Flats,3540,2005
Toa Payoh,Kallang,HDB 5-Room and Executive Flats,2190,2005
Toa Payoh,Kallang,HUDC Flats (excluding those privatised),0,2005
Toa Payoh,Kallang,Landed Properties,0,2005
Toa Payoh,Kallang,Condominiums and Other Apartments,0,2005
Toa Payoh,Kallang,Others,70,2005
Toa Payoh,Kim Keat,HDB 1- and 2-Room Flats,0,2005
Toa Payoh,Kim Keat,HDB 3-Room Flats,3450,2005
Toa Payoh,Kim Keat,HDB 4-Room Flats,2970,2005
Toa Payoh,Kim Keat,HDB 5-Room and Executive Flats,2270,2005
Toa Payoh,Kim Keat,HUDC Flats (excluding those privatised),0,2005
Toa Payoh,Kim Keat,Landed Properties,0,2005
Toa Payoh,Kim Keat,Condominiums and Other Apartments,0,2005
Toa Payoh,Kim Keat,Others,40,2005
Toa Payoh,Marymount,HDB 1- and 2-Room Flats,250,2005
Toa Payoh,Marymount,HDB 3-Room Flats,6670,2005
Toa Payoh,Marymount,HDB 4-Room Flats,1050,2005
Toa Payoh,Marymount,HDB 5-Room and Executive Flats,510,2005
Toa Payoh,Marymount,HUDC Flats (excluding those privatised),3170,2005
Toa Payoh,Marymount,Landed Properties,0,2005
Toa Payoh,Marymount,Condominiums and Other Apartments,740,2005
Toa Payoh,Marymount,Others,320,2005
Toa Payoh,Paya Lebar,HDB 1- and 2-Room Flats,0,2005
Toa Payoh,Paya Lebar,HDB 3-Room Flats,850,2005
Toa Payoh,Paya Lebar,HDB 4-Room Flats,1890,2005
Toa Payoh,Paya Lebar,HDB 5-Room and Executive Flats,2100,2005
Toa Payoh,Paya Lebar,HUDC Flats (excluding those privatised),0,2005
Toa Payoh,Paya Lebar,Landed Properties,1380,2005
Toa Payoh,Paya Lebar,Condominiums and Other Apartments,140,2005
Toa Payoh,Paya Lebar,Others,160,2005
Toa Payoh,Pei Chun,HDB 1- and 2-Room Flats,400,2005
Toa Payoh,Pei Chun,HDB 3-Room Flats,5710,2005
Toa Payoh,Pei Chun,HDB 4-Room Flats,3120,2005
Toa Payoh,Pei Chun,HDB 5-Room and Executive Flats,2310,2005
Toa Payoh,Pei Chun,HUDC Flats (excluding those privatised),0,2005
Toa Payoh,Pei Chun,Landed Properties,0,2005
Toa Payoh,Pei Chun,Condominiums and Other Apartments,0,2005
Toa Payoh,Pei Chun,Others,100,2005
Toa Payoh,Potong Pasir,HDB 1- and 2-Room Flats,0,2005
Toa Payoh,Potong Pasir,HDB 3-Room Flats,5650,2005
Toa Payoh,Potong Pasir,HDB 4-Room Flats,4380,2005
Toa Payoh,Potong Pasir,HDB 5-Room and Executive Flats,1260,2005
Toa Payoh,Potong Pasir,HUDC Flats (excluding those privatised),670,2005
Toa Payoh,Potong Pasir,Landed Properties,80,2005
Toa Payoh,Potong Pasir,Condominiums and Other Apartments,330,2005
Toa Payoh,Potong Pasir,Others,70,2005
Toa Payoh,Sennett,HDB 1- and 2-Room Flats,0,2005
Toa Payoh,Sennett,HDB 3-Room Flats,0,2005
Toa Payoh,Sennett,HDB 4-Room Flats,0,2005
Toa Payoh,Sennett,HDB 5-Room and Executive Flats,0,2005
Toa Payoh,Sennett,HUDC Flats (excluding those privatised),0,2005
Toa Payoh,Sennett,Landed Properties,3730,2005
Toa Payoh,Sennett,Condominiums and Other Apartments,100,2005
Toa Payoh,Sennett,Others,180,2005
Toa Payoh,Toa Payoh Central,HDB 1- and 2-Room Flats,2280,2005
Toa Payoh,Toa Payoh Central,HDB 3-Room Flats,6210,2005
Toa Payoh,Toa Payoh Central,HDB 4-Room Flats,6750,2005
Toa Payoh,Toa Payoh Central,HDB 5-Room and Executive Flats,4460,2005
Toa Payoh,Toa Payoh Central,HUDC Flats (excluding those privatised),0,2005
Toa Payoh,Toa Payoh Central,Landed Properties,0,2005
Toa Payoh,Toa Payoh Central,Condominiums and Other Apartments,1360,2005
Toa Payoh,Toa Payoh Central,Others,250,2005
Toa Payoh,Woodleigh,HDB 1- and 2-Room Flats,0,2005
Toa Payoh,Woodleigh,HDB 3-Room Flats,0,2005
Toa Payoh,Woodleigh,HDB 4-Room Flats,0,2005
Toa Payoh,Woodleigh,HDB 5-Room and Executive Flats,0,2005
Toa Payoh,Woodleigh,HUDC Flats (excluding those privatised),0,2005
Toa Payoh,Woodleigh,Landed Properties,250,2005
Toa Payoh,Woodleigh,Condominiums and Other Apartments,1070,2005
Toa Payoh,Woodleigh,Others,50,2005
Tuas,Pioneer,HDB 1- and 2-Room Flats,0,2005
Tuas,Pioneer,HDB 3-Room Flats,0,2005
Tuas,Pioneer,HDB 4-Room Flats,0,2005
Tuas,Pioneer,HDB 5-Room and Executive Flats,0,2005
Tuas,Pioneer,HUDC Flats (excluding those privatised),0,2005
Tuas,Pioneer,Landed Properties,0,2005
Tuas,Pioneer,Condominiums and Other Apartments,0,2005
Tuas,Pioneer,Others,0,2005
Tuas,Tengeh,HDB 1- and 2-Room Flats,0,2005
Tuas,Tengeh,HDB 3-Room Flats,0,2005
Tuas,Tengeh,HDB 4-Room Flats,0,2005
Tuas,Tengeh,HDB 5-Room and Executive Flats,0,2005
Tuas,Tengeh,HUDC Flats (excluding those privatised),0,2005
Tuas,Tengeh,Landed Properties,0,2005
Tuas,Tengeh,Condominiums and Other Apartments,0,2005
Tuas,Tengeh,Others,0,2005
Tuas,Tuas Bay,HDB 1- and 2-Room Flats,0,2005
Tuas,Tuas Bay,HDB 3-Room Flats,0,2005
Tuas,Tuas Bay,HDB 4-Room Flats,0,2005
Tuas,Tuas Bay,HDB 5-Room and Executive Flats,0,2005
Tuas,Tuas Bay,HUDC Flats (excluding those privatised),0,2005
Tuas,Tuas Bay,Landed Properties,0,2005
Tuas,Tuas Bay,Condominiums and Other Apartments,0,2005
Tuas,Tuas Bay,Others,0,2005
Tuas,Tuas Coast,HDB 1- and 2-Room Flats,0,2005
Tuas,Tuas Coast,HDB 3-Room Flats,0,2005
Tuas,Tuas Coast,HDB 4-Room Flats,0,2005
Tuas,Tuas Coast,HDB 5-Room and Executive Flats,0,2005
Tuas,Tuas Coast,HUDC Flats (excluding those privatised),0,2005
Tuas,Tuas Coast,Landed Properties,0,2005
Tuas,Tuas Coast,Condominiums and Other Apartments,0,2005
Tuas,Tuas Coast,Others,0,2005
Tuas,Tuas Promenade,HDB 1- and 2-Room Flats,0,2005
Tuas,Tuas Promenade,HDB 3-Room Flats,0,2005
Tuas,Tuas Promenade,HDB 4-Room Flats,0,2005
Tuas,Tuas Promenade,HDB 5-Room and Executive Flats,0,2005
Tuas,Tuas Promenade,HUDC Flats (excluding those privatised),0,2005
Tuas,Tuas Promenade,Landed Properties,0,2005
Tuas,Tuas Promenade,Condominiums and Other Apartments,0,2005
Tuas,Tuas Promenade,Others,0,2005
Tuas,Tuas View,HDB 1- and 2-Room Flats,0,2005
Tuas,Tuas View,HDB 3-Room Flats,0,2005
Tuas,Tuas View,HDB 4-Room Flats,0,2005
Tuas,Tuas View,HDB 5-Room and Executive Flats,0,2005
Tuas,Tuas View,HUDC Flats (excluding those privatised),0,2005
Tuas,Tuas View,Landed Properties,0,2005
Tuas,Tuas View,Condominiums and Other Apartments,0,2005
Tuas,Tuas View,Others,0,2005
Western Islands,Bukum,HDB 1- and 2-Room Flats,0,2005
Western Islands,Bukum,HDB 3-Room Flats,0,2005
Western Islands,Bukum,HDB 4-Room Flats,0,2005
Western Islands,Bukum,HDB 5-Room and Executive Flats,0,2005
Western Islands,Bukum,HUDC Flats (excluding those privatised),0,2005
Western Islands,Bukum,Landed Properties,0,2005
Western Islands,Bukum,Condominiums and Other Apartments,0,2005
Western Islands,Bukum,Others,0,2005
Western Islands,Jurong Island,HDB 1- and 2-Room Flats,0,2005
Western Islands,Jurong Island,HDB 3-Room Flats,0,2005
Western Islands,Jurong Island,HDB 4-Room Flats,0,2005
Western Islands,Jurong Island,HDB 5-Room and Executive Flats,0,2005
